"Package","Version"
"profmem","0.7.0"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.18.0"
"proj4","1.0-15"
"promises","1.3.2"
"proto","1.0.0"
"proxy","0.4-29"
"ps","1.9.1"
"pscl","1.5.9"
"psych","2.6.1"
"psychTools","2.5.7.22"
"purrr","1.0.4"
"qap","0.1-2"
"qgam","2.0.0"
"qlcMatrix","0.9.9"
"qpdf","1.4.1"
"quadprog","1.5-8"
"quantmod","0.4.28"
"quantreg","5.97"
"qvalue","2.22.0"
"qvcalc","1.0.4"
"ragg","1.2.2"
"randomForest","4.6-10"
"ranger","0.14.1"
"rapidjsonr","1.2.1"
"rappdirs","0.3.3"
"rbenchmark","1.0.0"
"rbibutils","2.4.1"
"rbokeh","0.5.2"
"rcmdcheck","1.4.0"
"rcompanion","2.3.7"
"reactlog","1.1.1"
"reactome.db","1.74.0"
"readr","2.1.6"
"readxl","1.4.5"
"recipes","1.1.1"
"reformulas","0.4.4"
"registry","0.5-1"
"relations","0.6-16"
"relimp","1.0-5"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"rempsyc","0.2.0"
"repmis","0.5.1"
"repr","1.1.7"
"reprex","2.1.1"
"reshape","0.8.10"
"reshape2","1.4.5"
"reticulate","1.45.0"
"rex","1.2.1"
"rgenoud","5.9-0.11"
"rgeoda","0.1.1"
"rgeos","0.6-4"
"rgl","1.3.36"
"rhdf5","2.34.0"
"rhdf5filters","1.2.1"
"ridge","3.3"
"rio","1.2.4"
"rjson","0.2.23"
"rlang","1.1.7"
"rlist","0.4.6.2"
"rly","1.7.8"
"rmarkdown","2.30"
"rmio","0.4.0"
"rngtools","1.5.2"
"rnndescent","0.1.8"
"robust","0.7-5"
"robustbase","0.99-7"
"rootSolve","1.8.2.4"
"roxygen2","7.3.3"
"rpart","4.1.24"
"rprojroot","2.1.1"
"rr2","1.1.1"
"rrcov","1.7-7"
"rsample","1.2.1"
"rstan","2.32.7"
"rstantools","2.6.0"
"rstatix","0.7.3"
"rstudioapi","0.18.0"
"rsvd","1.0.5"
"rtf","0.4-14.1"
"rtracklayer","1.50.0"
"rvcheck","0.2.1"
"rversions","3.0.0"
"rvest","1.0.4"
"s2","1.1.7"
"sampleSelection","1.2-14"
"sandwich","3.1-1"
"sass","0.4.10"
"scCustomize","1.1.3"
"scMLnet","0.2.0"
"scales","1.3.0"
"scater","1.18.6"
"scattermore","1.2"
"scatterpie","0.1.8"
"scatterplot3d","0.3-45"
"sccore","1.0.6"
"scoringRules","1.1.3"
"sctransform","0.4.3"
"scuttle","1.0.4"
"segmented","2.2-1"
"selectr","0.5-1"
"seqLogo","1.56.0"
"seriation","1.5.8"
"servr","0.32"
"sessioninfo","1.2.3"
"sets","1.0-25"
"sf","1.0-7"
"sfheaders","0.4.5"
"sfsmisc","1.1-23"
"shades","1.4.0"
"shape","1.4.6.1"
"shiny","1.10.0"
"shinyBS","0.63.0"
"shinydashboard","0.7.3"
"shinyjs","2.1.1"
"shinythemes","1.2.0"
"showtext","0.9-7"
"showtextdb","3.0"
"sitmo","2.0.2"
"skewt","1.0"
"slam","0.1-55"
"slider","0.3.3"
"slingshot","1.8.0"
"sm","2.2-6.0"
"smoof","1.7.0"
"smoother","1.3"
"sn","2.1.3"
"sna","2.8"
"snakecase","0.11.1"
"snow","0.4-4"
"som","0.3-5.2"
"sourcetools","0.1.7-1"
"sp","2.2-1"
"spData","2.3.4"
"spacefillr","0.4.0"
"spacetime","1.3-3"
"spacexr","2.0.0"
"spam","2.11-3"
"sparseMatrixStats","1.2.1"
"sparsesvd","0.2-3"
"sparsevctrs","0.3.0"
"spatial","7.3-18"
"spatialreg","1.4-2"
"spatstat","3.5-1"
"spatstat.core","2.4-4"
"spatstat.data","3.1-9"
"spatstat.explore","3.7-0"
"spatstat.geom","3.7-0"
"spatstat.linnet","3.4-1"
"spatstat.model","3.6-1"
"spatstat.random","3.4-4"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-6"
"spatstat.utils","3.2-2"
"spdep","1.4-2"
"speedglm","0.3-5"
"spelling","2.3.2"
"splancs","2.01-45"
"splines","4.0.5"
"ssanv","1.1"
"statmod","1.5.1"
"statnet.common","4.8.0"
"stats","4.0.5"
"stats4","4.0.5"
"statsExpressions","1.4.0"
"storr","1.2.6"
"stringi","1.8.7"
"stringmagic","1.2.0"
"stringr","1.5.1"
"strucchange","1.5-4"
"survPresmooth","1.1-12"
"survival","3.8-6"
"sva","3.38.0"
"svglite","2.1.3"
"sys","3.4.3"
"sysfonts","0.8.9"
"systemfit","1.1-30"
"systemfonts","1.2.1"
"tables","0.9.33"
"tcltk","4.0.5"
"tensor","1.5.1"
"tensorA","0.36.2.1"
"tensorflow","2.20.0"
"testit","0.17"
"testthat","3.2.3"
"textshaping","0.3.6"
"tfautograph","0.3.2"
"tfruns","1.5.4"
"thematic","0.1.8"
"threejs","0.3.4"
"tibble","3.3.1"
"tictoc","1.2.1"
"tidygraph","1.3.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidytree","0.4.7"
"tidyverse","2.0.0"
"timeDate","4052.112"
"timeSeries","4052.112"
"timechange","0.4.0"
"tinytest","1.4.1"
"tinytex","0.58"
"tools","4.0.5"
"tradeSeq","1.4.0"
"transformr","0.1.5"
"treeio","1.14.4"
"triebeard","0.4.1"
"truncnorm","1.0-9"
"truncreg","0.2-5"
